,date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_event
0,2011-01-29,11101,Saturday,1,1,2011,d_1,No_Event,No_Event,No_Event,No_Event,0,0,0,0
1,2011-01-30,11101,Sunday,2,1,2011,d_2,No_Event,No_Event,No_Event,No_Event,0,0,0,0
2,2011-01-31,11101,Monday,3,1,2011,d_3,No_Event,No_Event,No_Event,No_Event,0,0,0,0
3,2011-02-01,11101,Tuesday,4,2,2011,d_4,No_Event,No_Event,No_Event,No_Event,1,1,0,0
4,2011-02-02,11101,Wednesday,5,2,2011,d_5,No_Event,No_Event,No_Event,No_Event,1,0,1,0
5,2011-02-03,11101,Thursday,6,2,2011,d_6,No_Event,No_Event,No_Event,No_Event,1,1,1,0
6,2011-02-04,11101,Friday,7,2,2011,d_7,No_Event,No_Event,No_Event,No_Event,1,0,0,0
7,2011-02-05,11102,Saturday,1,2,2011,d_8,No_Event,No_Event,No_Event,No_Event,1,1,1,0
8,2011-02-06,11102,Sunday,2,2,2011,d_9,SuperBowl,Sporting,No_Event,No_Event,1,1,1,1
9,2011-02-07,11102,Monday,3,2,2011,d_10,No_Event,No_Event,No_Event,No_Event,1,1,0,0
10,2011-02-08,11102,Tuesday,4,2,2011,d_11,No_Event,No_Event,No_Event,No_Event,1,0,1,0
11,2011-02-09,11102,Wednesday,5,2,2011,d_12,No_Event,No_Event,No_Event,No_Event,1,1,1,0
12,2011-02-10,11102,Thursday,6,2,2011,d_13,No_Event,No_Event,No_Event,No_Event,1,0,0,0
13,2011-02-11,11102,Friday,7,2,2011,d_14,No_Event,No_Event,No_Event,No_Event,0,1,1,0
14,2011-02-12,11103,Saturday,1,2,2011,d_15,No_Event,No_Event,No_Event,No_Event,0,1,1,0
15,2011-02-13,11103,Sunday,2,2,2011,d_16,No_Event,No_Event,No_Event,No_Event,0,1,0,0
16,2011-02-14,11103,Monday,3,2,2011,d_17,ValentinesDay,Cultural,No_Event,No_Event,0,0,1,1
17,2011-02-15,11103,Tuesday,4,2,2011,d_18,No_Event,No_Event,No_Event,No_Event,0,1,1,0
18,2011-02-16,11103,Wednesday,5,2,2011,d_19,No_Event,No_Event,No_Event,No_Event,0,0,0,0
19,2011-02-17,11103,Thursday,6,2,2011,d_20,No_Event,No_Event,No_Event,No_Event,0,0,0,0
20,2011-02-18,11103,Friday,7,2,2011,d_21,No_Event,No_Event,No_Event,No_Event,0,0,0,0
21,2011-02-19,11104,Saturday,1,2,2011,d_22,No_Event,No_Event,No_Event,No_Event,0,0,0,0
22,2011-02-20,11104,Sunday,2,2,2011,d_23,No_Event,No_Event,No_Event,No_Event,0,0,0,0
23,2011-02-21,11104,Monday,3,2,2011,d_24,PresidentsDay,National,No_Event,No_Event,0,0,0,1
24,2011-02-22,11104,Tuesday,4,2,2011,d_25,No_Event,No_Event,No_Event,No_Event,0,0,0,0
25,2011-02-23,11104,Wednesday,5,2,2011,d_26,No_Event,No_Event,No_Event,No_Event,0,0,0,0
26,2011-02-24,11104,Thursday,6,2,2011,d_27,No_Event,No_Event,No_Event,No_Event,0,0,0,0
27,2011-02-25,11104,Friday,7,2,2011,d_28,No_Event,No_Event,No_Event,No_Event,0,0,0,0
28,2011-02-26,11105,Saturday,1,2,2011,d_29,No_Event,No_Event,No_Event,No_Event,0,0,0,0
29,2011-02-27,11105,Sunday,2,2,2011,d_30,No_Event,No_Event,No_Event,No_Event,0,0,0,0
30,2011-02-28,11105,Monday,3,2,2011,d_31,No_Event,No_Event,No_Event,No_Event,0,0,0,0
31,2011-03-01,11105,Tuesday,4,3,2011,d_32,No_Event,No_Event,No_Event,No_Event,1,1,0,0
32,2011-03-02,11105,Wednesday,5,3,2011,d_33,No_Event,No_Event,No_Event,No_Event,1,0,1,0
33,2011-03-03,11105,Thursday,6,3,2011,d_34,No_Event,No_Event,No_Event,No_Event,1,1,1,0
34,2011-03-04,11105,Friday,7,3,2011,d_35,No_Event,No_Event,No_Event,No_Event,1,0,0,0
35,2011-03-05,11106,Saturday,1,3,2011,d_36,No_Event,No_Event,No_Event,No_Event,1,1,1,0
36,2011-03-06,11106,Sunday,2,3,2011,d_37,No_Event,No_Event,No_Event,No_Event,1,1,1,0
37,2011-03-07,11106,Monday,3,3,2011,d_38,No_Event,No_Event,No_Event,No_Event,1,1,0,0
38,2011-03-08,11106,Tuesday,4,3,2011,d_39,No_Event,No_Event,No_Event,No_Event,1,0,1,0
39,2011-03-09,11106,Wednesday,5,3,2011,d_40,LentStart,Religious,No_Event,No_Event,1,1,1,1
40,2011-03-10,11106,Thursday,6,3,2011,d_41,No_Event,No_Event,No_Event,No_Event,1,0,0,0
41,2011-03-11,11106,Friday,7,3,2011,d_42,No_Event,No_Event,No_Event,No_Event,0,1,1,0
42,2011-03-12,11107,Saturday,1,3,2011,d_43,No_Event,No_Event,No_Event,No_Event,0,1,1,0
43,2011-03-13,11107,Sunday,2,3,2011,d_44,No_Event,No_Event,No_Event,No_Event,0,1,0,0
44,2011-03-14,11107,Monday,3,3,2011,d_45,No_Event,No_Event,No_Event,No_Event,0,0,1,0
45,2011-03-15,11107,Tuesday,4,3,2011,d_46,No_Event,No_Event,No_Event,No_Event,0,1,1,0
46,2011-03-16,11107,Wednesday,5,3,2011,d_47,LentWeek2,Religious,No_Event,No_Event,0,0,0,1
47,2011-03-17,11107,Thursday,6,3,2011,d_48,StPatricksDay,Cultural,No_Event,No_Event,0,0,0,1
48,2011-03-18,11107,Friday,7,3,2011,d_49,No_Event,No_Event,No_Event,No_Event,0,0,0,0
49,2011-03-19,11108,Saturday,1,3,2011,d_50,No_Event,No_Event,No_Event,No_Event,0,0,0,0
50,2011-03-20,11108,Sunday,2,3,2011,d_51,Purim End,Religious,No_Event,No_Event,0,0,0,1
51,2011-03-21,11108,Monday,3,3,2011,d_52,No_Event,No_Event,No_Event,No_Event,0,0,0,0
52,2011-03-22,11108,Tuesday,4,3,2011,d_53,No_Event,No_Event,No_Event,No_Event,0,0,0,0
53,2011-03-23,11108,Wednesday,5,3,2011,d_54,No_Event,No_Event,No_Event,No_Event,0,0,0,0
54,2011-03-24,11108,Thursday,6,3,2011,d_55,No_Event,No_Event,No_Event,No_Event,0,0,0,0
55,2011-03-25,11108,Friday,7,3,2011,d_56,No_Event,No_Event,No_Event,No_Event,0,0,0,0
56,2011-03-26,11109,Saturday,1,3,2011,d_57,No_Event,No_Event,No_Event,No_Event,0,0,0,0
57,2011-03-27,11109,Sunday,2,3,2011,d_58,No_Event,No_Event,No_Event,No_Event,0,0,0,0
58,2011-03-28,11109,Monday,3,3,2011,d_59,No_Event,No_Event,No_Event,No_Event,0,0,0,0
59,2011-03-29,11109,Tuesday,4,3,2011,d_60,No_Event,No_Event,No_Event,No_Event,0,0,0,0
60,2011-03-30,11109,Wednesday,5,3,2011,d_61,No_Event,No_Event,No_Event,No_Event,0,0,0,0
61,2011-03-31,11109,Thursday,6,3,2011,d_62,No_Event,No_Event,No_Event,No_Event,0,0,0,0
62,2011-04-01,11109,Friday,7,4,2011,d_63,No_Event,No_Event,No_Event,No_Event,1,1,0,0
63,2011-04-02,11110,Saturday,1,4,2011,d_64,No_Event,No_Event,No_Event,No_Event,1,0,1,0
64,2011-04-03,11110,Sunday,2,4,2011,d_65,No_Event,No_Event,No_Event,No_Event,1,1,1,0
65,2011-04-04,11110,Monday,3,4,2011,d_66,No_Event,No_Event,No_Event,No_Event,1,0,0,0
66,2011-04-05,11110,Tuesday,4,4,2011,d_67,No_Event,No_Event,No_Event,No_Event,1,1,1,0
67,2011-04-06,11110,Wednesday,5,4,2011,d_68,No_Event,No_Event,No_Event,No_Event,1,1,1,0
68,2011-04-07,11110,Thursday,6,4,2011,d_69,No_Event,No_Event,No_Event,No_Event,1,1,0,0
69,2011-04-08,11110,Friday,7,4,2011,d_70,No_Event,No_Event,No_Event,No_Event,1,0,1,0
70,2011-04-09,11111,Saturday,1,4,2011,d_71,No_Event,No_Event,No_Event,No_Event,1,1,1,0
71,2011-04-10,11111,Sunday,2,4,2011,d_72,No_Event,No_Event,No_Event,No_Event,1,0,0,0
72,2011-04-11,11111,Monday,3,4,2011,d_73,No_Event,No_Event,No_Event,No_Event,0,1,1,0
73,2011-04-12,11111,Tuesday,4,4,2011,d_74,No_Event,No_Event,No_Event,No_Event,0,1,1,0
74,2011-04-13,11111,Wednesday,5,4,2011,d_75,No_Event,No_Event,No_Event,No_Event,0,1,0,0
75,2011-04-14,11111,Thursday,6,4,2011,d_76,No_Event,No_Event,No_Event,No_Event,0,0,1,0
76,2011-04-15,11111,Friday,7,4,2011,d_77,No_Event,No_Event,No_Event,No_Event,0,1,1,0
77,2011-04-16,11112,Saturday,1,4,2011,d_78,No_Event,No_Event,No_Event,No_Event,0,0,0,0
78,2011-04-17,11112,Sunday,2,4,2011,d_79,No_Event,No_Event,No_Event,No_Event,0,0,0,0
79,2011-04-18,11112,Monday,3,4,2011,d_80,No_Event,No_Event,No_Event,No_Event,0,0,0,0
80,2011-04-19,11112,Tuesday,4,4,2011,d_81,No_Event,No_Event,No_Event,No_Event,0,0,0,0
81,2011-04-20,11112,Wednesday,5,4,2011,d_82,No_Event,No_Event,No_Event,No_Event,0,0,0,0
82,2011-04-21,11112,Thursday,6,4,2011,d_83,No_Event,No_Event,No_Event,No_Event,0,0,0,0
83,2011-04-22,11112,Friday,7,4,2011,d_84,No_Event,No_Event,No_Event,No_Event,0,0,0,0
84,2011-04-23,11113,Saturday,1,4,2011,d_85,No_Event,No_Event,No_Event,No_Event,0,0,0,0
85,2011-04-24,11113,Sunday,2,4,2011,d_86,OrthodoxEaster,Religious,Easter,Cultural,0,0,0,1
