,d,sales,date,weekday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,is_event,rolling_7,rolling_28
0,d_1,32631,2011-01-29,Saturday,1,2011,No_Event,No_Event,No_Event,No_Event,0,,
1,d_2,31749,2011-01-30,Sunday,1,2011,No_Event,No_Event,No_Event,No_Event,0,,
2,d_3,23783,2011-01-31,Monday,1,2011,No_Event,No_Event,No_Event,No_Event,0,,
3,d_4,25412,2011-02-01,Tuesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,,
4,d_5,19146,2011-02-02,Wednesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,,
5,d_6,29211,2011-02-03,Thursday,2,2011,No_Event,No_Event,No_Event,No_Event,0,,
6,d_7,28010,2011-02-04,Friday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27134.571428571428,
7,d_8,37932,2011-02-05,Saturday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27891.85714285714,
8,d_9,32736,2011-02-06,Sunday,2,2011,SuperBowl,Sporting,No_Event,No_Event,1,28032.85714285714,
9,d_10,25572,2011-02-07,Monday,2,2011,No_Event,No_Event,No_Event,No_Event,0,28288.428571428572,
10,d_11,23071,2011-02-08,Tuesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27954.0,
11,d_12,23658,2011-02-09,Wednesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,28598.571428571428,
12,d_13,23756,2011-02-10,Thursday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27819.285714285714,
13,d_14,26445,2011-02-11,Friday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27595.714285714286,
14,d_15,34833,2011-02-12,Saturday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27153.0,
15,d_16,36380,2011-02-13,Sunday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27673.571428571428,
16,d_17,21804,2011-02-14,Monday,2,2011,ValentinesDay,Cultural,No_Event,No_Event,1,27135.285714285714,
17,d_18,24070,2011-02-15,Tuesday,2,2011,No_Event,No_Event,No_Event,No_Event,0,27278.0,
